pid,sid,trl,cond,start,isHead,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,rt,resp
7,180,1,1,2,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,,
7,180,2,1,4,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,2,0
7,180,3,1,7,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,14,1
7,180,4,1,5,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,17,0
7,180,5,1,6,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,13,0
7,180,6,1,8,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,7,0
7,180,7,1,3,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,10,0
7,180,8,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,14,1
7,180,9,1,5,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,10,0
7,180,10,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,14,0
7,180,11,1,3,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,11,0
7,180,12,1,8,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,12,1
7,180,13,1,4,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,14,1
7,180,14,1,7,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,10,0
7,180,15,1,6,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,11,1
7,180,16,1,2,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,20,0
7,180,17,1,7,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,8,0
7,180,18,1,6,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,9,0
7,180,19,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,8,0
7,180,20,1,5,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,10,1
7,180,21,1,3,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,12,0
7,180,22,1,2,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,9,1
7,180,23,1,8,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,18,0
7,180,24,1,4,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,12,0
7,180,25,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,20,1
7,180,26,1,6,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,8,1
7,180,27,1,7,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,12,1
7,180,28,1,2,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,11,0
7,180,29,1,5,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,9,1
7,180,30,1,3,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,9,1
7,180,31,1,8,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,12,0
7,180,32,1,4,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,20,0
7,180,33,1,4,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,20,1
7,180,34,1,7,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,13,1
7,180,35,1,3,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,0
7,180,36,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,13,0
