pid,sid,trl,cond,start,isHead,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,rt,resp
4,181,1,1,4,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,20,0
4,181,2,1,5,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,10,1
4,181,3,1,3,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,11,0
4,181,4,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,10,1
4,181,5,1,7,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,9,0
4,181,6,1,2,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,12,0
4,181,7,1,8,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,8,0
4,181,8,1,6,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,8,1
4,181,9,1,4,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,7,1
4,181,10,1,6,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,7,1
4,181,11,1,7,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,12,0
4,181,12,1,3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,7,1
4,181,13,1,5,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,9,0
4,181,14,1,8,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,9,1
4,181,15,1,2,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,6,0
4,181,16,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,9,0
4,181,17,1,4,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,20,1
4,181,18,1,8,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,12,1
