block_type,set_index,set_size,trial_in_set,stim_green,stim_yellow,rt_display,recall_value
practice,1,2,1,8,9,5.428260099986801,8
practice,1,2,2,7,6,2.7986898999952246,7
practice,2,2,1,7,5,2.290831199992681,7
practice,2,2,2,8,9,2.5702431999961846,8
practice,3,2,1,8,5,1.574334800010547,8
practice,3,2,2,9,6,4.035117599996738,9
cspan_main,4,3,1,6,8,1.6163599000137765,6
cspan_main,4,3,2,8,5,2.3234021000098437,8
cspan_main,4,3,3,8,6,2.9274327000021003,8
cspan_main,5,3,1,7,8,2.172843800013652,7
cspan_main,5,3,2,9,7,3.44151370000327,9
cspan_main,5,3,3,8,8,2.7217347999976482,8
cspan_main,6,3,1,6,8,1.6444011999992654,6
cspan_main,6,3,2,6,8,1.3152844999858644,6
cspan_main,6,3,3,8,9,2.7060653000080492,8
cspan_main,7,4,1,5,6,1.0546566000266466,5
cspan_main,7,4,2,9,6,3.117910300003132,9
cspan_main,7,4,3,7,8,3.025279199995566,7
cspan_main,7,4,4,5,5,2.2316830000199843,5
cspan_main,8,4,1,9,6,2.525327900017146,9
cspan_main,8,4,2,6,8,2.5398438000120223,6
cspan_main,8,4,3,8,6,2.952604199992493,8
cspan_main,8,4,4,6,8,2.337972399982391,6
cspan_main,9,4,1,8,5,3.0798181999998633,8
cspan_main,9,4,2,9,6,3.95707209999091,9
cspan_main,9,4,3,6,7,2.0488381999894045,6
cspan_main,9,4,4,9,8,3.0643094000115525,9
cspan_main,10,5,1,6,9,1.524898800009396,6
cspan_main,10,5,2,5,7,1.5059990000154357,5
cspan_main,10,5,3,5,8,1.5472361999854911,5
cspan_main,10,5,4,5,5,1.3016529000014998,5
cspan_main,10,5,5,5,6,1.2329448999953456,5
cspan_main,11,5,1,8,6,1.5921409000002313,8
cspan_main,11,5,2,7,8,2.3760749999783,7
cspan_main,11,5,3,6,7,1.4180608000024222,6
cspan_main,11,5,4,6,8,1.4329384000157006,6
cspan_main,11,5,5,9,5,3.9318406999809667,9
cspan_main,12,5,1,5,9,0.9941392999899108,5
cspan_main,12,5,2,7,6,1.9055758999893442,7
cspan_main,12,5,3,8,5,2.886968800012255,8
cspan_main,12,5,4,5,9,1.416451800003415,5
cspan_main,12,5,5,5,6,2.2401283000072,5
cspan_main,13,6,1,9,9,3.1248249000054784,9
cspan_main,13,6,2,9,8,4.025688900001114,9
cspan_main,13,6,3,7,5,2.1550398000108544,7
cspan_main,13,6,4,9,9,3.046336600003997,9
cspan_main,13,6,5,9,9,3.447800299996743,9
cspan_main,13,6,6,5,8,1.2299647000036202,5
cspan_main,14,6,1,8,7,1.6884922999888659,8
cspan_main,14,6,2,9,8,3.1708356000017375,9
cspan_main,14,6,3,6,8,1.4343899999803398,6
cspan_main,14,6,4,7,9,2.3860974999843165,7
cspan_main,14,6,5,5,8,1.8097909000061918,5
cspan_main,14,6,6,5,9,1.3783655999868643,5
cspan_main,15,6,1,8,5,2.1891466999950353,8
cspan_main,15,6,2,5,5,1.076551100006327,5
cspan_main,15,6,3,7,8,2.4610356999910437,7
cspan_main,15,6,4,6,7,2.0280832999851555,6
cspan_main,15,6,5,9,8,3.873465299984673,9
cspan_main,15,6,6,8,5,3.6001032999774907,8
cspan_main,16,7,1,6,7,1.2055893999931868,6
cspan_main,16,7,2,8,7,2.0511294000025373,8
cspan_main,16,7,3,9,5,4.163869399984833,9
cspan_main,16,7,4,6,6,2.290789299993776,6
cspan_main,16,7,5,5,9,0.9709305000142194,5
cspan_main,16,7,6,8,8,3.848297000018647,8
cspan_main,16,7,7,7,9,2.3772589000000153,7
cspan_main,17,7,1,6,8,1.296173299982911,6
cspan_main,17,7,2,6,5,1.6887199000047985,6
cspan_main,17,7,3,8,6,2.368590199999744,8
cspan_main,17,7,4,5,5,1.9362556000123732,5
cspan_main,17,7,5,5,5,1.760769699991215,5
cspan_main,17,7,6,6,9,1.9222312000056263,6
cspan_main,17,7,7,5,5,1.3192416000238154,5
cspan_main,18,7,1,5,5,1.460179900022922,5
cspan_main,18,7,2,7,8,2.050468000001274,7
cspan_main,18,7,3,5,5,0.9765273999946658,5
cspan_main,18,7,4,6,5,1.3786255000159144,6
cspan_main,18,7,5,7,7,2.8116103999782354,7
cspan_main,18,7,6,5,7,1.8414051000145264,5
cspan_main,18,7,7,6,9,3.097031799989054,6
