session,trial,staircase,orientation,response,correct,diff1,diff2
1,1,2,left,right,False,15,15
1,1,3,right,left,False,16,15
1,2,2,left,right,False,16,16
1,2,3,left,left,True,17,16
1,3,2,right,left,False,17,16
1,3,3,left,right,False,18,16
1,4,2,right,left,False,18,17
1,4,3,left,right,False,19,17
1,5,2,left,right,False,19,18
1,5,3,left,right,False,20,18
1,6,2,right,right,True,20,19
1,6,3,right,left,False,20,19
1,7,2,left,right,False,20,20
1,7,3,right,left,False,21,20
1,8,2,right,left,False,21,21
1,8,3,left,right,False,22,21
1,9,2,right,left,False,22,22
1,9,3,left,left,True,23,22
1,10,2,left,left,True,23,22
1,10,3,right,left,False,23,22
1,11,2,right,right,True,23,23
1,11,3,left,left,True,22,23
1,12,2,left,right,False,22,23
1,12,3,right,right,True,23,23
1,13,2,right,left,False,23,23
1,13,3,left,left,True,24,23
1,14,2,right,right,True,24,22
1,14,3,left,left,True,24,22
1,15,2,left,left,True,24,22
1,15,3,right,right,True,23,22
1,16,2,left,left,True,23,22
1,16,3,left,left,True,23,22
1,17,2,right,right,True,23,21
1,17,3,left,right,False,22,21
1,18,2,right,left,False,22,22
1,18,3,left,left,True,23,22
1,19,2,right,right,True,23,22
1,19,3,right,right,True,23,22
1,20,2,left,left,True,23,22
1,20,3,right,right,True,22,22
1,21,2,left,left,True,22,21
1,21,3,left,right,False,22,21
1,22,2,right,left,False,22,22
1,22,3,left,right,False,23,22
1,23,2,left,left,True,23,23
1,23,3,right,left,False,23,23
1,24,2,right,left,False,23,24
1,24,3,right,right,True,24,24
1,25,2,left,right,False,24,24
1,25,3,right,right,True,25,24
