session,trial,staircase,orientation,response,correct,soa1,soa2
1,1,2,left,left,True,12,12
1,1,3,left,left,True,12,12
1,2,2,right,right,True,12,12
1,2,3,left,left,True,11,12
1,3,2,right,right,True,11,12
1,3,3,right,right,True,11,12
1,4,2,left,left,True,11,11
1,4,3,left,left,True,10,11
1,5,2,left,left,True,10,11
1,5,3,right,right,True,10,11
1,6,2,right,right,True,10,11
1,6,3,right,right,True,9,11
1,7,2,left,left,True,9,10
1,7,3,left,left,True,9,10
1,8,2,right,right,True,9,10
1,8,3,left,left,True,8,10
1,9,2,left,left,True,8,10
1,9,3,right,right,True,8,10
1,10,2,right,right,True,8,9
1,10,3,left,left,True,7,9
1,11,2,left,left,True,7,9
1,11,3,right,right,True,7,9
1,12,2,left,left,True,7,9
1,12,3,right,right,True,6,9
1,13,2,right,right,True,6,8
1,13,3,left,left,True,6,8
1,14,2,right,right,True,6,8
1,14,3,right,right,True,5,8
1,15,2,left,left,True,5,8
1,15,3,left,left,True,5,8
1,16,2,left,left,True,5,7
1,16,3,right,right,True,4,7
1,17,2,left,left,True,4,7
1,17,3,right,right,True,4,7
1,18,2,left,left,True,4,7
1,18,3,left,left,True,3,7
1,19,2,right,right,True,3,6
1,19,3,right,right,True,3,6
1,20,2,right,left,False,3,6
1,20,3,right,right,True,4,6
1,21,2,left,left,True,4,6
1,21,3,left,left,True,4,6
1,22,2,right,left,False,4,5
1,22,3,left,left,True,5,5
1,23,2,left,left,True,5,5
1,23,3,left,left,True,5,5
1,24,2,right,left,False,5,5
1,24,3,left,left,True,6,5
1,25,2,left,left,True,6,4
1,25,3,left,left,True,6,4
