session,trial,staircase,letter,response,correct,soa1,soa2
1,1,2,J,J,True,12,12
1,1,3,L,L,True,12,12
1,2,2,G,G,True,12,12
1,2,3,G,G,True,11,12
1,3,2,G,G,True,11,12
1,3,3,J,J,True,11,12
1,4,2,K,K,True,11,11
1,4,3,H,H,True,10,11
1,5,2,A,A,True,10,11
1,5,3,G,G,True,10,11
1,6,2,H,H,True,10,11
1,6,3,F,F,True,9,11
1,7,2,F,F,True,9,10
1,7,3,D,D,True,9,10
1,8,2,F,F,True,9,10
1,8,3,D,D,True,8,10
1,9,2,H,H,True,8,10
1,9,3,D,D,True,8,10
1,10,2,H,H,True,8,9
1,10,3,J,J,True,7,9
1,11,2,D,D,True,7,9
1,11,3,G,G,True,7,9
1,12,2,J,J,True,7,9
1,12,3,G,G,True,6,9
1,13,2,J,J,True,6,8
1,13,3,S,S,True,6,8
1,14,2,G,G,True,6,8
1,14,3,F,G,False,5,8
1,15,2,L,D,False,5,9
1,15,3,H,H,True,6,9
1,16,2,G,D,False,6,9
1,16,3,L,G,False,7,9
1,17,2,G,G,True,7,10
1,17,3,D,D,True,7,10
1,18,2,H,H,True,7,10
1,18,3,H,H,True,6,10
1,19,2,F,J,False,6,10
1,19,3,J,J,True,7,10
1,20,2,K,K,True,7,9
1,20,3,G,G,True,7,9
1,21,2,F,D,False,7,9
1,21,3,D,D,True,8,9
1,22,2,A,A,True,8,9
1,22,3,F,F,True,8,9
1,23,2,L,L,True,8,8
1,23,3,J,J,True,7,8
1,24,2,K,K,True,7,8
1,24,3,A,A,True,7,8
1,25,2,D,D,True,7,8
1,25,3,S,S,True,6,8
