session,trial,staircase,orientation,response,correct,soa1,soa2
1,1,2,left,left,True,12,12
1,1,3,right,right,True,12,12
1,2,2,right,right,True,12,12
1,2,3,left,right,False,11,12
1,3,2,right,left,False,11,13
1,3,3,right,right,True,12,13
1,4,2,right,right,True,12,13
1,4,3,right,left,False,12,13
1,5,2,left,right,False,12,14
1,5,3,right,left,False,13,14
1,6,2,right,right,True,13,15
1,6,3,left,right,False,13,15
1,7,2,right,right,True,13,16
1,7,3,left,right,False,12,16
1,8,2,left,left,True,12,17
1,8,3,left,left,True,12,17
1,9,2,right,left,False,12,17
1,9,3,right,right,True,13,17
1,10,2,right,right,True,13,17
1,10,3,right,left,False,13,17
1,11,2,right,right,True,13,18
1,11,3,left,right,False,12,18
1,12,2,left,left,True,12,19
1,12,3,right,left,False,12,19
1,13,2,left,right,False,12,20
1,13,3,right,left,False,13,20
1,14,2,right,right,True,13,21
1,14,3,right,left,False,13,21
1,15,2,left,right,False,13,22
1,15,3,left,left,True,14,22
1,16,2,right,right,True,14,22
1,16,3,right,left,False,14,22
1,17,2,right,right,True,14,23
1,17,3,right,right,True,13,23
1,18,2,right,right,True,13,23
1,18,3,left,right,False,13,23
1,19,2,left,left,True,13,24
1,19,3,left,left,True,12,24
1,20,2,left,left,True,12,24
1,20,3,left,left,True,12,24
1,21,2,right,left,False,12,24
1,21,3,right,right,True,13,24
1,22,2,right,right,True,13,23
1,22,3,right,right,True,13,23
1,23,2,left,right,False,13,23
1,23,3,left,left,True,14,23
1,24,2,right,left,False,14,23
1,24,3,right,right,True,15,23
1,25,2,right,right,True,15,22
1,25,3,left,left,True,15,22
