pid block taskType trialNum soa stim resp correct
36 1 Integ 1 6 7 7 True
36 1 Integ 2 6 12 13 False
36 1 Integ 3 5 12 12 True
36 1 Integ 4 5 11 11 True
36 1 Integ 5 7 16 18 False
36 1 Integ 6 6 18 13 False
36 1 Integ 7 5 17 17 True
36 1 Integ 8 5 16 8 False
36 1 Integ 9 4 11 11 True
36 1 Integ 10 4 17 17 True
36 1 Integ 11 6 7 13 False
36 1 Integ 12 5 11 13 False
36 1 Integ 13 4 16 16 True
36 1 Integ 14 4 8 8 True
36 1 Integ 15 6 7 7 True
36 1 Integ 16 6 18 18 True
36 1 Integ 17 8 16 16 True
36 1 Integ 18 8 7 13 False
36 1 Integ 19 7 12 12 True
36 1 Integ 20 7 6 7 False
36 1 Integ 21 6 7 7 True
36 1 Integ 22 6 13 18 False
36 1 Integ 23 5 12 12 True
36 1 Integ 24 5 6 6 True
36 1 Integ 25 7 7 7 True
36 1 Integ 26 7 13 17 False
36 1 Integ 27 6 8 7 False
36 1 Integ 28 5 17 17 True
36 1 Integ 29 5 6 6 True
36 1 Integ 30 7 11 11 True
36 1 Integ 31 7 13 6 False
36 1 Integ 32 6 18 11 False
36 1 Integ 33 5 18 16 False
36 1 Integ 34 4 11 11 True
36 1 Integ 35 4 16 13 False
36 1 Integ 36 3 11 11 True
36 1 Integ 37 3 6 7 False
36 1 Integ 38 2 16 16 True
36 1 Integ 39 2 11 11 True
36 1 Integ 40 4 18 6 False
36 1 Integ 41 3 13 13 True
36 1 Integ 42 3 13 8 False
36 1 Integ 43 2 17 17 True
36 1 Integ 44 2 12 12 True
36 1 Integ 45 4 13 13 True
36 1 Integ 46 4 6 13 False
36 1 Integ 47 3 16 16 True
36 1 Integ 48 3 12 12 True
36 1 Integ 49 5 16 16 True
36 1 Integ 50 5 7 7 True
36 2 Simult 1 6 1 1 True
36 2 Simult 2 6 0 0 True
36 2 Simult 3 4 0 1 False
36 2 Simult 4 6 0 1 False
36 2 Simult 5 8 0 0 True
36 2 Simult 6 8 1 1 True
36 2 Simult 7 6 0 0 True
36 2 Simult 8 6 1 1 True
36 2 Simult 9 4 1 1 True
36 2 Simult 10 4 0 0 True
36 2 Simult 11 2 1 1 True
36 2 Simult 12 2 1 1 True
36 2 Simult 13 0 1 1 True
36 2 Simult 14 0 1 1 True
36 2 Simult 15 0 0 1 False
36 2 Simult 16 2 0 1 False
36 2 Simult 17 4 0 0 True
36 2 Simult 18 4 0 1 False
36 2 Simult 19 6 1 0 False
36 2 Simult 20 8 1 1 True
36 2 Simult 21 8 1 0 False
36 2 Simult 22 8 1 0 False
36 2 Simult 23 8 1 1 True
36 2 Simult 24 8 1 1 True
36 2 Simult 25 6 1 1 True
36 2 Simult 26 6 0 0 True
36 2 Simult 27 4 1 1 True
36 2 Simult 28 4 0 0 True
36 2 Simult 29 2 1 1 True
36 2 Simult 30 2 1 0 False
36 2 Simult 31 4 0 1 False
36 2 Simult 32 6 1 1 True
36 2 Simult 33 6 1 1 True
36 2 Simult 34 4 1 1 True
36 2 Simult 35 4 0 1 False
36 2 Simult 36 6 0 0 True
36 2 Simult 37 6 1 0 False
36 2 Simult 38 8 0 0 True
36 2 Simult 39 8 0 0 True
36 2 Simult 40 6 1 1 True
36 2 Simult 41 6 0 0 True
36 2 Simult 42 4 0 0 True
36 2 Simult 43 4 1 0 False
36 2 Simult 44 6 1 0 False
36 2 Simult 45 8 1 1 True
36 2 Simult 46 8 0 0 True
36 2 Simult 47 6 1 1 True
36 2 Simult 48 6 0 1 False
36 2 Simult 49 8 0 1 False
36 2 Simult 50 8 1 0 False
36 3 Integ 1 6 11 7 False
36 3 Integ 2 5 12 12 True
36 3 Integ 3 5 11 11 True
36 3 Integ 4 7 18 18 True
36 3 Integ 5 7 11 18 False
36 3 Integ 6 6 16 8 False
36 3 Integ 7 5 16 16 True
36 3 Integ 8 5 13 7 False
36 3 Integ 9 4 11 16 False
36 3 Integ 10 3 17 17 True
36 3 Integ 11 3 6 6 True
36 3 Integ 12 5 12 7 False
36 3 Integ 13 4 18 7 False
36 3 Integ 14 3 13 13 True
36 3 Integ 15 3 8 8 True
36 3 Integ 16 5 13 8 False
36 3 Integ 17 4 6 6 True
36 3 Integ 18 4 6 6 True
36 3 Integ 19 6 17 17 True
36 3 Integ 20 6 17 7 False
36 3 Integ 21 5 7 7 True
