modality,block,trial,word,color,congruent,rt_ms,correct,timed_out,no_response,recognized_text,recognized_color_word,response_key,recognized_color
manual,1,1,blue,blue,True,643.3,True,False,False,,,f,blue
manual,1,2,blue,blue,True,531.3,True,False,False,,,f,blue
manual,1,3,green,blue,False,952.0,True,False,False,,,f,blue
manual,1,4,yellow,green,False,1548.8,True,False,False,,,j,green
manual,1,5,red,green,False,602.9,True,False,False,,,j,green
manual,1,6,green,green,True,643.4,True,False,False,,,j,green
manual,1,7,green,red,False,989.0,True,False,False,,,d,red
manual,1,8,yellow,yellow,True,583.5,True,False,False,,,k,yellow
manual,1,9,yellow,yellow,True,524.2,True,False,False,,,k,yellow
manual,1,10,red,yellow,False,668.2,True,False,False,,,k,yellow
manual,1,11,blue,green,False,1026.7,True,False,False,,,j,green
manual,1,12,blue,yellow,False,804.3,True,False,False,,,k,yellow
manual,1,13,red,blue,False,767.5,True,False,False,,,f,blue
manual,1,14,blue,red,False,642.5,True,False,False,,,d,red
manual,1,15,green,green,True,692.4,True,False,False,,,j,green
manual,1,16,red,red,True,851.6,True,False,False,,,d,red
manual,1,17,yellow,blue,False,1049.4,True,False,False,,,f,blue
manual,1,18,yellow,yellow,True,845.7,True,False,False,,,k,yellow
manual,1,19,red,red,True,610.0,True,False,False,,,d,red
manual,1,20,green,yellow,False,994.4,True,False,False,,,k,yellow
manual,1,21,red,red,True,580.6,True,False,False,,,d,red
manual,1,22,blue,blue,True,451.6,True,False,False,,,f,blue
manual,1,23,green,green,True,498.4,True,False,False,,,j,green
manual,1,24,yellow,red,False,971.8,True,False,False,,,d,red
voice,2,1,yellow,yellow,True,698.4,True,False,False,yellow,yellow,,
voice,2,2,blue,blue,True,545.1,True,False,False,blue,blue,,
voice,2,3,green,red,False,990.0,True,True,False,red,red,,
voice,2,4,blue,red,False,729.0,True,False,False,red,red,,
voice,2,5,yellow,red,False,939.0,True,True,False,red,red,,
voice,2,6,green,green,True,544.2,True,False,False,green,green,,
voice,2,7,blue,blue,True,726.6,True,False,False,blue,blue,,
voice,2,8,yellow,yellow,True,516.6,True,False,False,yellow,yellow,,
voice,2,9,blue,yellow,False,816.2,True,False,False,yellow,yellow,,
voice,2,10,red,yellow,False,1264.3,True,True,False,yellow,yellow,,
voice,2,11,green,green,True,665.0,True,False,False,green,green,,
voice,2,12,blue,blue,True,607.0,True,False,False,blue,blue,,
voice,2,13,yellow,yellow,True,543.8,True,False,False,yellow,yellow,,
voice,2,14,yellow,green,False,939.6,True,True,False,green,green,,
voice,2,15,red,red,True,606.7,True,False,False,red,red,,
voice,2,16,yellow,blue,False,907.7,True,True,False,blue,blue,,
voice,2,17,red,red,True,636.0,True,False,False,red,red,,
voice,2,18,green,blue,False,843.5,False,True,False,green,green,,
voice,2,19,red,blue,False,816.8,True,False,False,blue,blue,,
voice,2,20,red,green,False,693.1,True,False,False,green,green,,
voice,2,21,green,yellow,False,877.3,True,True,False,yellow,yellow,,
voice,2,22,red,red,True,603.8,True,False,False,red,red,,
voice,2,23,blue,green,False,779.5,True,False,False,green,green,,
voice,2,24,green,green,True,519.9,True,False,False,green,green,,
manual,3,1,yellow,yellow,True,1619.7,False,False,False,,,f,blue
manual,3,2,blue,red,False,1247.8,True,False,False,,,d,red
manual,3,3,red,yellow,False,1196.6,True,False,False,,,k,yellow
manual,3,4,green,red,False,,False,True,True,,,,
manual,3,5,green,green,True,983.0,True,False,False,,,j,green
manual,3,6,green,yellow,False,938.8,True,False,False,,,k,yellow
manual,3,7,red,blue,False,956.2,True,False,False,,,f,blue
manual,3,8,blue,blue,True,571.0,True,False,False,,,f,blue
