block,trial,word,color,congruent,rt_ms,response_key,recognized_color,correct,timed_out,no_response
1,1,blue,green,False,,,,False,True,True
1,2,red,green,False,,,,False,True,True
1,3,yellow,yellow,True,1098.6,k,yellow,True,False,False
1,4,green,green,True,1076.5,j,green,True,False,False
1,5,yellow,blue,False,722.3,f,blue,True,False,False
1,6,red,green,False,765.4,j,green,True,False,False
1,7,red,red,True,647.2,d,red,True,False,False
1,8,blue,blue,True,713.6,f,blue,True,False,False
1,9,blue,blue,True,647.1,f,blue,True,False,False
1,10,yellow,green,False,1497.7,j,green,True,False,False
1,11,yellow,yellow,True,1174.4,k,yellow,True,False,False
1,12,green,yellow,False,1634.5,k,yellow,True,False,False
1,13,blue,blue,True,748.7,f,blue,True,False,False
1,14,green,yellow,False,1749.5,k,yellow,True,False,False
1,15,green,red,False,855.7,d,red,True,False,False
1,16,red,red,True,782.4,d,red,True,False,False
1,17,red,yellow,False,1124.3,d,red,False,False,False
1,18,yellow,red,False,908.8,d,red,True,False,False
1,19,yellow,yellow,True,886.0,j,green,False,False,False
1,20,yellow,green,False,1146.5,j,green,True,False,False
1,21,blue,green,False,684.8,j,green,True,False,False
1,22,yellow,yellow,True,711.6,k,yellow,True,False,False
1,23,red,green,False,1198.2,j,green,True,False,False
1,24,red,blue,False,845.4,f,blue,True,False,False
1,25,red,green,False,1370.5,j,green,True,False,False
1,26,blue,blue,True,1040.6,f,blue,True,False,False
1,27,yellow,blue,False,653.7,f,blue,True,False,False
1,28,green,green,True,783.1,j,green,True,False,False
1,29,red,red,True,794.0,d,red,True,False,False
1,30,yellow,yellow,True,791.9,k,yellow,True,False,False
1,31,red,red,True,1014.7,d,red,True,False,False
1,32,red,red,True,662.1,d,red,True,False,False
1,33,green,green,True,656.5,j,green,True,False,False
1,34,red,blue,False,1062.9,f,blue,True,False,False
1,35,red,red,True,892.5,d,red,True,False,False
1,36,yellow,yellow,True,743.5,k,yellow,True,False,False
1,37,yellow,yellow,True,744.2,k,yellow,True,False,False
1,38,red,red,True,625.5,d,red,True,False,False
1,39,blue,blue,True,676.6,f,blue,True,False,False
1,40,red,red,True,861.8,d,red,True,False,False
1,41,blue,yellow,False,901.2,k,yellow,True,False,False
1,42,red,yellow,False,622.4,k,yellow,True,False,False
1,43,yellow,red,False,997.2,d,red,True,False,False
1,44,yellow,red,False,921.1,d,red,True,False,False
1,45,yellow,yellow,True,769.6,k,yellow,True,False,False
1,46,green,green,True,713.9,j,green,True,False,False
1,47,green,red,False,765.1,d,red,True,False,False
1,48,green,green,True,790.5,j,green,True,False,False
1,49,green,green,True,689.3,j,green,True,False,False
1,50,yellow,yellow,True,873.4,k,yellow,True,False,False
1,51,blue,blue,True,765.4,f,blue,True,False,False
1,52,red,yellow,False,955.3,k,yellow,True,False,False
1,53,green,yellow,False,1243.3,k,yellow,True,False,False
1,54,green,green,True,1021.7,j,green,True,False,False
1,55,yellow,yellow,True,662.5,k,yellow,True,False,False
1,56,green,yellow,False,866.3,k,yellow,True,False,False
1,57,yellow,yellow,True,666.6,k,yellow,True,False,False
1,58,green,yellow,False,595.7,k,yellow,True,False,False
1,59,yellow,yellow,True,592.0,k,yellow,True,False,False
1,60,yellow,red,False,723.4,d,red,True,False,False
1,61,red,red,True,722.7,d,red,True,False,False
1,62,blue,blue,True,639.7,f,blue,True,False,False
1,63,green,green,True,556.4,j,green,True,False,False
1,64,green,red,False,639.9,d,red,True,False,False
1,65,blue,blue,True,760.0,f,blue,True,False,False
1,66,green,yellow,False,942.8,k,yellow,True,False,False
1,67,yellow,yellow,True,621.8,k,yellow,True,False,False
1,68,yellow,green,False,996.0,j,green,True,False,False
1,69,green,yellow,False,851.9,k,yellow,True,False,False
1,70,yellow,yellow,True,673.8,k,yellow,True,False,False
1,71,blue,red,False,699.1,d,red,True,False,False
1,72,yellow,red,False,705.4,d,red,True,False,False
1,73,blue,red,False,882.8,d,red,True,False,False
